epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3103,2.31428,2.49331,1.36625,0.00238,0.27077,0.00153,0.00058,2.65234,inf,2.24858,0.000656566,0.000656566,0.000656566
2,99.1313,2.28115,1.42803,1.36161,0,0,0,0,nan,nan,nan,0.00127957,0.00127957,0.00127957
3,137.268,2.29783,1.36521,1.36734,0.02126,0.53846,0.0151,0.00534,2.21322,58.8773,1.39679,0.00185857,0.00185857,0.00185857
4,175.199,2.26658,1.4007,1.37682,0.03494,0.55692,0.02821,0.01062,2.16981,16.7416,1.31569,0.001802,0.001802,0.001802
5,213.208,2.19085,1.28307,1.32259,0.59181,0.47077,0.44423,0.14055,2.31453,1.79726,1.37005,0.001736,0.001736,0.001736
6,251.214,2.13032,1.2387,1.31421,0.65137,0.55692,0.55348,0.2039,2.09366,1.20031,1.23335,0.00167,0.00167,0.00167
7,289.196,2.14549,1.2113,1.30487,0.63646,0.57538,0.62105,0.23263,2.09271,1.21165,1.22852,0.001604,0.001604,0.001604
8,327.378,2.13141,1.15579,1.29684,0.66346,0.6066,0.61391,0.2278,2.04957,1.22707,1.22213,0.001538,0.001538,0.001538
9,365.103,2.09886,1.12766,1.27883,0.59026,0.5851,0.54934,0.20026,2.14429,1.38943,1.24097,0.001472,0.001472,0.001472
10,402.881,2.05008,1.12515,1.26873,0.6519,0.60308,0.63541,0.22759,2.14539,1.20131,1.26515,0.001406,0.001406,0.001406
11,440.777,2.07886,1.08277,1.27802,0.66222,0.49231,0.53876,0.223,2.02523,1.49436,1.18952,0.00134,0.00134,0.00134
12,478.662,2.05146,1.09754,1.25446,0.71328,0.67077,0.66609,0.26444,1.96438,1.07215,1.18514,0.001274,0.001274,0.001274
13,519.493,2.11221,1.13352,1.27296,0.73766,0.64923,0.65408,0.25207,2.04947,1.02629,1.22476,0.001208,0.001208,0.001208
14,557.265,2.03049,1.05734,1.22373,0.75736,0.62154,0.661,0.24966,2.04835,1.06541,1.19239,0.001142,0.001142,0.001142
15,595.501,2.03117,1.07069,1.2549,0.78213,0.66154,0.69948,0.28328,1.99272,1.00674,1.17835,0.001076,0.001076,0.001076
16,635.892,2.00567,1.05809,1.21797,0.80685,0.62154,0.66933,0.26987,2.0164,1.01702,1.19101,0.00101,0.00101,0.00101
17,673.546,1.99205,1.03281,1.2297,0.746,0.61846,0.65499,0.25274,2.0298,1.12216,1.16261,0.000944,0.000944,0.000944
18,711.32,1.96488,1.01445,1.1977,0.77158,0.68597,0.7203,0.27784,1.98769,0.98722,1.1702,0.000878,0.000878,0.000878
19,749.067,1.94961,0.97048,1.19543,0.70969,0.70769,0.67941,0.27854,1.99964,1.00091,1.19098,0.000812,0.000812,0.000812
20,786.843,1.96301,1.00082,1.20431,0.74087,0.66859,0.69866,0.28767,1.97979,0.99326,1.17442,0.000746,0.000746,0.000746
21,827.131,1.98483,1.0279,1.25889,0.73613,0.65538,0.69454,0.27107,2.0202,0.97542,1.18516,0.00068,0.00068,0.00068
22,864.9,1.94951,1.00466,1.26287,0.75489,0.70125,0.71245,0.28429,1.97181,1.03746,1.16787,0.000614,0.000614,0.000614
23,902.577,1.92139,0.96685,1.23396,0.76665,0.72,0.72717,0.29834,1.99563,0.92952,1.17045,0.000548,0.000548,0.000548
24,944.793,1.92892,0.9692,1.23817,0.78756,0.70724,0.72207,0.29786,1.99384,0.92967,1.17512,0.000482,0.000482,0.000482
25,982.687,1.8863,0.93036,1.22588,0.74641,0.73359,0.73197,0.2858,2.03115,0.9364,1.17508,0.000416,0.000416,0.000416
26,1020.36,1.87144,0.92601,1.20954,0.80699,0.68308,0.71471,0.27466,2.09263,0.98108,1.1998,0.00035,0.00035,0.00035
27,1058.23,1.86592,0.92184,1.21499,0.8218,0.72368,0.74385,0.30252,2.02049,0.9052,1.16885,0.000284,0.000284,0.000284
28,1100.71,1.87871,0.91511,1.21098,0.7636,0.74769,0.7438,0.30431,1.97977,0.94179,1.15384,0.000218,0.000218,0.000218
29,1143.45,1.8448,0.89697,1.20904,0.81196,0.71747,0.74577,0.31484,1.96424,0.89445,1.15768,0.000152,0.000152,0.000152
30,1184.67,1.85091,0.89155,1.19361,0.79956,0.74462,0.74911,0.31183,1.97613,0.90939,1.16347,8.6e-05,8.6e-05,8.6e-05
